Title,Organization,Price,Info
"Domina la Inteligencia Artificial con ChatGPT de OpenAi
Aprende a utilizar chat gpt la herramienta de Inteligencia Artificial más avanzada de OpenAi paso a paso desde cero",Carlos Massa,"Precio actual
14,99 €
Precio original
24,99 €","41 minutos en total
14 clases
Todos los niveles"
"Proyecto Ecommerce con Spring Boot y Arquitectura Hexagonal
Aprende a crear una aplicación Ecommerce con Spring Boot y Arquitectura Hexagonal",Elivar Largo,"Precio actual
14,99 €
Precio original
19,99 €","13 horas en total
93 clases
Intermedio"
"Desarrollar un Sistema de Reservas con Kotlin + API REST...
Desarrollaremos la aplicación paso a paso.",Reynaldo devR,"Precio actual
14,99 €
Precio original
24,99 €","4,5 horas en total
28 clases
Todos los niveles"
"Inteligencia Artificial para Programadores con Prisa
Introducción a la inteligencia artificial",Marco Antonio Aceves,"Precio actual
14,99 €
Precio original
49,99 €","24 horas en total
33 clases
Principiante"
"Migra un Sitio Web de WordPress a otro Dominio o Hosting
Migra un sitio web de WordPress a otro dominio o hosting, sin saber de programación, de forma fácil y simple.",Renato Jesús Yacolca Neyra,"Precio actual
14,99 €
Precio original
94,99 €","1 hora en total
19 clases
Todos los niveles"
"Python Curso Completo - (Sintaxis,Numpy, Pandas, Matplotlib)
Introducción a la programación y al análisis de datos con PythonCalificación: 5,0 de 5",Christian Gámez,"Precio actual
14,99 €
Precio original
94,99 €","8,5 horas en total
60 clases
Todos los niveles"
"Curso Fundamentos de GeneXus 18 - Aprende GeneXus desde cero
Aprende los fundamentos del modelado de aplicaciones multi-experiencia con GeneXus, líder en plataformas de Low-Code.",GeneXus Training,"Precio actual
14,99 €
Precio original
19,99 €","9 horas en total
49 clases
Principiante"
"Python 3 para principiantes (de cero a avanzado)
Aprende Python desde cero hasta POO, Imágenes con OpenCV, Matemáticas con NumPy y gráficas con Matplotlib",Miguel Angel Camargo Rojas,"Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total
12 clases
Principiante"
"COREGAMES: conviértete en un desarrollador de videojuegos
Con esta plataforma, no necesitas dinero para publicar tu juego, solo una idea, creer en ella y muchas ganas de triunfar",Diego Rojas Vega,"Precio actual
14,99 €
Precio original
44,99 €","5 horas en total
78 clases
Intermedio"
"de 0 a DBA con Docker y PostgreSQL
Despliegue y configuración del servidor de base de datos PostgreSQL en contenedores Dcoker.",Luciano Parruccia,"Precio actual
14,99 €
Precio original
19,99 €","5,5 horas en total
67 clases
Todos los niveles"
"Examen de C# | Principiantes e intermedios
Evaluación de conocimientos fundamentales y habilidades intermedias en programación con C#",Layla Vargas Bonnet,"Precio actual
14,99 €
Precio original
19,99 €","24,5 horas en total
217 clases
Todos los niveles"
"Crea tu propio WhatsApp desde cero
Desarrolla tu propia app de mensajería con React Native, Socket IO, Node, Express, Jwt, Real Time, Navigation, etc...",Agustin Navarro Galdon,"Precio actual
14,99 €
Precio original
94,99 €","17,5 horas en total
186 clases
Todos los niveles"
"Aprende PSeInt y Mejora tu Lógica de Programación desde Cero
A través de muchos ejercicios aprenderás PSeInt y la Lógica de Programación para la vida real!",GM Technologies,"Precio actual
14,99 €
Precio original
19,99 €","3,5 horas en total
33 clases
Todos los niveles"
"Aprende JavaScript de CERO a EXPERTO
Aprende JavaScript sin ningún conocimiento previo",Portal Ingeniería | +60.000 Students,"Precio actual
14,99 €
Precio original
19,99 €","3 horas en total
30 clases
Principiante"
"Automatiza tus Tareas con Python
SQL, Python Excel, APIs, Webscraping. Combinarás todas estas tecnologías para hacer tu día a día mas sencillo",Kevin Meneses González,"Precio actual
14,99 €
Precio original
94,99 €","2 horas en total
8 clases
Principiante"
"Curso de ChatGPT para principiantes - Aprenda a utilizar el
Utilización de la inteligencia artificial en los negocios y en la vida cotidiana con el software OpenAI Curso básico",Andreas Lang,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total
22 clases
Intermedio"
"Principios de pruebas software
Principios, fundamentos, niveles y tipos.",Francisco Javier Arce Anguiano,"Precio actual
24,99 €
Precio original
29,99 €","4 horas en total
9 clases
Principiante"
"CRUD con php, MVC, PDO, POO, JavaScript, Ajax y AdminLTE 3
Como crear un CRUD con php8, MVC, PDO, POO, JavaScript, Ajax y AdminLTE 3",Apasoft Training,"Precio actual
15,99 €
Precio original
19,99 €","5 horas en total
52 clases
Todos los niveles"
"El arte de Python - Python 3 desde 0 y para principiantes
Aprende Python desde cero y conviértete en un experto, aprendiendo toda su sintaxis y algunas de sus famosas librerías","KNOWMENT Formación, consultoría y coaching","Precio actual
15,99 €
Precio original
19,99 €","1 hora en total
15 clases
Principiante"
"Examen de Python | Principiantes e Intermedio
Evalúa tus habilidades en Python: Demuestra tus conocimientos básicos en programación",Francisco Javier Arce Anguiano,"Precio actual
15,99 €
Precio original
19,99 €","1 hora en total
5 clases
Todos los niveles"
"Curso Wordpress 2023 básico.
Curso introductorio wordprees",Pixel Pro Web,"Precio actual
19,99 €
Precio original
24,99 €","17 horas en total
116 clases
Principiante"
"El nuevo curso sobre Inteligencia Artificial Chatgpt
Un curso único sobre Inteligencia Artificial",Luis Roberto Pérez Rios,"Precio actual
15,99 €
Precio original
19,99 €","2 horas en total
18 clases
Todos los niveles"
"Leaflet: Crea mapas interactivos para la web
Una guía para implementar mapas interactivos en la web con Leaflet, una librería de código abierto para JavaScript",Luis Fernando Ramos,"Precio actual
14,99 €
Precio original
19,99 €","13 horas en total
56 clases
Todos los niveles"
"Crea un sistema juego de preguntas en codeigniter 3 php 7
Curso practico sistema básico usando el patrón mvc de codeigniter, html5, css3, bootstrap 5, plugin datatables y mysql",Get Tass,"Precio actual
14,99 €
Precio original
19,99 €","7,5 horas en total
21 clases
Intermedio"
"Kotlin MVVM: Curso de Android y Firebase (Jetpack + Dagger)
Blog desde cero | Jetpack compose | Clean Architecture | MVVM | Dagger Hilt | Coroutines | Flow | CRUD Firebase Android",Layla Vargas Bonnet,"Precio actual
14,99 €
Precio original
19,99 €","27,5 horas en total
98 clases
Todos los niveles"
"Como crear un sistema de inventario en Codeigniter 4
Como crear un sistema de inventario en Codeigniter 4",Walter Jorge,"Precio actual
14,99 €
Precio original
19,99 €","4,5 horas en total
5 clases
Intermedio"
"Programación en C desde básico a avanzado
Domina C y desarrolla tus habilidades de programación: desde los conceptos básicos hasta la programación avanzada",Luis David Garcia Luis,"Precio actual
14,99 €
Precio original
49,99 €","2,5 horas en total
87 clases
Principiante"
"Javascript y Jquery - Frontend II
curso de js con jquery interactivo",Juan Camilo Clavijo Sandoval,"Precio actual
14,99 €
Precio original
94,99 €","3 horas en total
16 clases
Principiante"
"Machine Learning: Aplicado a Python y Data Science
Aprende a crear algoritmos de Machine Learning en Python para estudiantes y profesionales",Tutos Coders,"Precio actual
14,99 €
Precio original
19,99 €","6,5 horas en total
24 clases
Principiante"
"Aprende Scratch de manera fácil y divertida
Creatividad,Desarrollo e Imaginación.",Jonathan Goyes,"Precio actual
14,99 €
Precio original
19,99 €","18 horas en total
160 clases
Principiante"
"API REST hecho en Laravel con arquitectura hexagonal y JWT
En este curso aprenderás sobre como realizar un API REST implementado arquitectura hexagonal con Laravel",Luis Fernando Ramos,"Precio actual
15,99 €
Precio original
19,99 €","10 horas en total
7 clases
Todos los niveles"
"Introducción a la programación con Python
Un curso moderno para aprender a programar en 2023 con el lenguaje más popular del mundo.",Facundo Darfe,"Precio actual
14,99 €
Precio original
19,99 €","4 horas en total
42 clases
Principiante"
"Machine Learning para principiantes
Validación, verificación y como funcionan los modelos de machine learning, deep learning e inteligencia artificial",Raimundo Huaman Perez,"Precio actual
14,99 €
Precio original
94,99 €","4 horas en total
29 clases
Principiante"
"Digiturno o Turnero Web Con Php Javascript Mysql
Sistema de Gestion de Filas","Meta Brains, Nicolás Seia","Precio actual
39,99 €
Precio original
49,99 €","2,5 horas en total
35 clases
Principiante"
"Estructuras de Datos y Algoritmos
Estructuras de datos y Algoritmos fundamentales necesarios para las entrevistas técnicas.",Luis Alfonso Martinez Alfaro,"Precio actual
14,99 €
Precio original
19,99 €","17 horas en total
40 clases
Experto"
"Ultimate Alteryx Bootcamp para analistas de negocio- Español
¡Comienza a utilizar Alteryx ya!",Cristian Camilo Vasquez Osorio,"Precio actual
79,99 €
Precio original
94,99 €","21,5 horas en total
520 clases
Principiante"
