Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Domina la Inteligencia Artificial con ChatGPT de OpenAi
Aprende a utilizar chat gpt la herramienta de Inteligencia Artificial más avanzada de OpenAi paso a paso desde cero",Carlos Massa,41 minutos en total,14,Todos los niveles,"14,99 €","24,99 €"
"Proyecto Ecommerce con Spring Boot y Arquitectura Hexagonal
Aprende a crear una aplicación Ecommerce con Spring Boot y Arquitectura Hexagonal",Elivar Largo,13 horas en total,93,Intermedio,"14,99 €","19,99 €"
"Desarrollar un Sistema de Reservas con Kotlin + API REST...
Desarrollaremos la aplicación paso a paso.",Reynaldo devR,"4,5 horas en total",28,Todos los niveles,"14,99 €","24,99 €"
"Inteligencia Artificial para Programadores con Prisa
Introducción a la inteligencia artificial",Marco Antonio Aceves,24 horas en total,33,Principiante,"14,99 €","49,99 €"
"Migra un Sitio Web de WordPress a otro Dominio o Hosting
Migra un sitio web de WordPress a otro dominio o hosting, sin saber de programación, de forma fácil y simple.",Renato Jesús Yacolca Neyra,1 hora en total,19,Todos los niveles,"14,99 €","94,99 €"
"Python Curso Completo - (Sintaxis,Numpy, Pandas, Matplotlib)
Introducción a la programación y al análisis de datos con PythonCalificación: 5,0 de 5",Christian Gámez,"8,5 horas en total",60,Todos los niveles,"14,99 €","94,99 €"
"Curso Fundamentos de GeneXus 18 - Aprende GeneXus desde cero
Aprende los fundamentos del modelado de aplicaciones multi-experiencia con GeneXus, líder en plataformas de Low-Code.",GeneXus Training,9 horas en total,49,Principiante,"14,99 €","19,99 €"
"Python 3 para principiantes (de cero a avanzado)
Aprende Python desde cero hasta POO, Imágenes con OpenCV, Matemáticas con NumPy y gráficas con Matplotlib",Miguel Angel Camargo Rojas,"1,5 horas en total",12,Principiante,"14,99 €","19,99 €"
"COREGAMES: conviértete en un desarrollador de videojuegos
Con esta plataforma, no necesitas dinero para publicar tu juego, solo una idea, creer en ella y muchas ganas de triunfar",Diego Rojas Vega,5 horas en total,78,Intermedio,"14,99 €","44,99 €"
"de 0 a DBA con Docker y PostgreSQL
Despliegue y configuración del servidor de base de datos PostgreSQL en contenedores Dcoker.",Luciano Parruccia,"5,5 horas en total",67,Todos los niveles,"14,99 €","19,99 €"
