Title,Organization,Price,Info
"Excel para la Gestión Administrativa Empresarial
Maneja Excel como un experto",Jose Gregorio Guevara Liendo,"Precio actual
14,99 €
Precio original
19,99 €","12,5 horas en total8 clasesTodos los niveles"
"Construye Dashboards increíbles con Power BI
Construye Dashboards increíbles con Power BI",Master Class,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total21 clasesPrincipiante
"Herramientas de Análisis de Datos en Excel
urso Avanzado de Análisis de Datos con Excel: Dominando Power Query, Power Pivot, Power Map, Solver y Dashboard",Juan Pablo Enriquez Ortiz,"Precio actual
14,99 €
Precio original
19,99 €",9 horas en total73 clasesIntermedio
"Control de Proyectos: Ms Project, Power BI y Risk Analysis
Gestiona tus Proyectos como un Experto",José G Guevara L,"Precio actual
14,99 €
Precio original
19,99 €","12,5 horas en total8 clasesExperto"
"Documentando un SG de la Calidad (ISO 9001:2015)
Aprenderas a documentar todos los requisitos de la norma ISO 9001:2015.",Raymundo Salas Santiago,"Precio actual
14,99 €
Precio original
79,99 €",1 hora en total13 clasesPrincipiante
"Excel Básico Paso a Paso para aprender fácil
Curso de Introducción a Excel hasta el diseño de fórmulas complejas y utilidades para uso laboral y personal",Willington Rincón Hoyos,"Precio actual
14,99 €
Precio original
19,99 €","8,5 horas en total53 clasesPrincipiante"
"Microsoft Excel y Google Spreadsheets: Formación Completa
Microsoft Excel y Google Sheets Para Una Alta Productividad. Administre el Trabajo Diario y Cree Informes de Gestión.",Ivan Lourenço Gomes,"Precio actual
14,99 €
Precio original
84,99 €",10 horas en total65 clasesTodos los niveles
"Curso de Macros y Visual Basic en Excel
Excel Avanzado",Sergio Gómez Pamies,"Precio actual
14,99 €
Precio original
19,99 €",11 horas en total87 clasesExperto
"Curso SAP HCM - SAP HR - desde 0 - Parte 2
Conviértete en Consultor en SAP HCM, impulsa tu carrera y alcanza miles de ofertas laborales.",Maicol Daniel Peligno,"Precio actual
14,99 €
Precio original
94,99 €","8,5 horas en total15 clasesTodos los niveles"
"Curso de ofimática Docente
Word, Excel y Power Point",Leonardo Pachas Huacho,"Precio actual
14,99 €
Precio original
19,99 €",20 horas en total10 clasesPrincipiante
"SAP Business One: Curso avanzado de implementacion
SAP Business One: Guia avanzada para implementacion",David Moncada,"Precio actual
14,99 €
Precio original
94,99 €",6 horas en total42 clasesIntermedio
"Aprende Tablas Dinámicas Desde Cero
Estructura. Configuración de Campo de Valor. Segmentación. Power Pivot. Relación de Diferentes Tablas. Conexiones",Antonio Formoso,"Precio actual
14,99 €
Precio original
19,99 €",2 horas en total22 clasesTodos los niveles
"Control Proyectos con Ms Project, Power BI y Risk Analysis
Gestiona tus proyectos de inicio a fin",José G Guevara L,"Precio actual
14,99 €
Precio original
19,99 €","12,5 horas en total8 clasesTodos los niveles"
"Planificación de Tareas y Gestión de Proyectos con ClickUp
Sácale el máximo provecho a ClickUp para planificar tus tareas y gestionar los proyectos en equipo",Miquel Nadal Vela,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total53 clasesTodos los niveles"
"Curso SAP HCM - SAP HR - desde 0 - Parte 1
Conviértete en Consultor en SAP HCM, impulsa tu carrera y alcanza miles de ofertas laborales.",Maicol Daniel Peligno,"Precio actual
14,99 €
Precio original
94,99 €",10 horas en total16 clasesTodos los niveles
"Proyectos con Ms Project, Power BI y Primavera Risk
Se un experto en uso de Ms Project, Power BI y Primavera Risk",Jose Gregorio Guevara Liendo,"Precio actual
14,99 €
Precio original
19,99 €",13 horas en total8 clasesTodos los niveles
"Microsoft Excel aplicado a la Gestión Administrativa Empresa
Aplica Excel para tus procesos de oficina",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
34,99 €","12,5 horas en total8 clasesTodos los niveles"
"Aprende Excel Intermedio. Funciones más usadas. Power Pivot
Se un experto usando BUSCARX y BUSCARV. Aprende Power Pivot. Domina bien la Función SI, Formato condiconal y mucho más",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
94,99 €","3,5 horas en total31 clasesTodos los niveles"
"Planificación de Tareas y Gestión de Proyectos con Asana
Sácale el máximo provecho a Asana para planificar tus tareas y gestionar los proyectos en equipo",Etraining S.A DE C.V,"Precio actual
14,99 €
Precio original
49,99 €",4 horas en total60 clasesTodos los niveles
"Gestión de proyectos con Google Sheets
Gestión y automatizaciones para exprimir Google Sheets al máximo como herramienta de gestión de proyectos",Ricardo Naya,"Precio actual
14,99 €
Precio original
94,99 €",2 horas en total14 clasesPrincipiante
"Gestión Mantenimiento Avanzado SAP PM - Completo
Conviértete en un experto en la gestión del mantenimiento avanzado en SAP ERP y S/4 HANA",Ricardo Naya,"Precio actual
14,99 €
Precio original
89,99 €","8,5 horas en total42 clasesExperto"
"Capacitación Técnica SAP Business One B1 v10
Capacitación Técnica SAP Business One - SAP B1 v10",José G Guevara L,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total10 clasesTodos los niveles
"Certificación PL-900 - Microsoft Power Platform Fundamentals
Aprende Power BI, Power Apps, Power Automate y Power Virtual Agents para el examen PL-900 de Microsoft",Antonio Formoso,"Precio actual
14,99 €
Precio original
24,99 €",13 horas en total153 clasesTodos los niveles
