Unnamed: 0,Title,Organization,Course_rating,Course_info,Course_level,Course_certificate,Course_duration,try2,try3
0,Google Data Analytics,Google,4.8,"(105,4k reseñas) Beginner · Profesional Certificate · 3-6 Months","(105,4k reseñas) Beginner ", Profesional Certificate , 3-6 Months,,
1,Google Project Management:,Google,4.8,(77k reseñas) Beginner · Professional Certificate · 3-6 Months,(77k reseñas) Beginner , Professional Certificate , 3-6 Months,,
2,Google UX Design,Google,4.8,"(59,9k reseñas) Beginner · Professional Certificate · 3-6 Months","(59,9k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
3,Google IT Support,Google,4.8,(165k reseñas) Beginner · Professional Certificate · 3-6 Months,(165k reseñas) Beginner , Professional Certificate , 3-6 Months,,
4,IBM Data Science,IBM Skills Network,4.6,"(107,5k reseñas) Beginner · Professional Certificate · 3-6 Months","(107,5k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
5,Google Digital Marketing & E-commerce,Google,4.8,"(11,7k reseñas) Beginner · Professional Certificate · 3-6 Months","(11,7k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
6,IBM Data Analyst,IBM Skills Network,4.6,"(61,9k reseñas) Beginner · Professional Certificate · 3-6 Months","(61,9k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
7,Machine Learning,"DeepLearning.AI, Stanford University",4.9,"(8,9k reseñas) Beginner · Specialization · 1-3 Months","(8,9k reseñas) Beginner ", Specialization , 1-3 Months,,
8,Introduction to Data Science,IBM Skills Network,4.6,(78k reseñas) Beginner · Specialization · 3-6 Months,(78k reseñas) Beginner , Specialization , 3-6 Months,,
9,Data Science Fundamentals with Python and SQL,IBM Skills Network,4.5,"(53,4k reseñas) Beginner · Specialization · 3-6 Months","(53,4k reseñas) Beginner ", Specialization , 3-6 Months,,
10,Key Technologies for Business,IBM Skills Network,4.7,"(74,3k reseñas) Beginner · Specialization · 1-3 Months","(74,3k reseñas) Beginner ", Specialization , 1-3 Months,,
11,IBM DevOps and Software Engineering,IBM Skills Network,4.6,(37k reseñas) Beginner · Professional Certificate · 3-6 Months,(37k reseñas) Beginner , Professional Certificate , 3-6 Months,,
12,IBM Data Engineering,IBM Skills Network,4.6,(41k reseñas) Beginner · Professional Certificate · 3-6 Months,(41k reseñas) Beginner , Professional Certificate , 3-6 Months,,
13,IBM Full Stack Software Developer,IBM Skills Network,4.6,"(35,5k reseñas) Beginner · Professional Certificate · 3-6 Months","(35,5k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
14,Deep Learning,DeepLearning.AI,4.8,"(138,2k reseñas) Intermediate · Specialization · 3-6 Months","(138,2k reseñas) Intermediate ", Specialization , 3-6 Months,,
15,Data Engineering Foundations,IBM Skills Network,4.6,"(40,3k reseñas) Beginner · Specialization · 3-6 Months","(40,3k reseñas) Beginner ", Specialization , 3-6 Months,,
16,IBM Cybersecurity Analyst,IBM,4.6,"(19,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(19,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
17,IBM AI Foundations for Business,IBM,4.7,"(71,5k reseñas) Beginner · Specialization · 1-3 Months","(71,5k reseñas) Beginner ", Specialization , 1-3 Months,,
18,Applied Data Science,IBM Skills Network,4.6,"(43,8k reseñas) Beginner · Specialization · 3-6 Months","(43,8k reseñas) Beginner ", Specialization , 3-6 Months,,
19,IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,4.7,"(24,1k reseñas) Beginner · Specialization · 3-6 Months","(24,1k reseñas) Beginner ", Specialization , 3-6 Months,,
20,IBM Data Analytics with Excel and R,IBM Skills Network,4.7,"(15,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(15,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
21,Data Analysis and Visualization Foundations,IBM Skills Network,4.7,"(14,8k reseñas) Beginner · Specialization · 3-6 Months","(14,8k reseñas) Beginner ", Specialization , 3-6 Months,,
22,IT Fundamentals for Cybersecurity,IBM,4.6,"(17,6k reseñas) Beginner · Specialization · 3-6 Months","(17,6k reseñas) Beginner ", Specialization , 3-6 Months,,
23,IBM Back-End Development,IBM Skills Network,4.6,"(32,4k reseñas) Beginner · Professional Certificate · 3-6 Months","(32,4k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
24,Applied Software Engineering Fundamentals,IBM Skills Network,4.6,"(31,9k reseñas) Beginner · Specialization · 3-6 Months","(31,9k reseñas) Beginner ", Specialization , 3-6 Months,,
25,IBM Applied AI,IBM Skills Network,4.6,"(42,5k reseñas) Beginner · Professional Certificate · 3-6 Months","(42,5k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
26,Meta Front-End Developer,Meta,4.7,"(7,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(7,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
27,IBM Data Warehouse Engineer,IBM Skills Network,4.6,"(19,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(19,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
28,Google IT Automation with Python,Google,4.7,"(36,5k reseñas) Beginner · Professional Certificate · 3-6 Months","(36,5k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
29,Foundations of Project Management,Google,4.9,"(59,9k reseñas) Beginner · Course · 1-4 Weeks","(59,9k reseñas) Beginner ", Course , 1-4 Weeks,,
30,Mathematics for Machine Learning and Data Science,DeepLearning.AI,4.4,(192 reseñas) Beginner · Specialization · 1-3 Months,(192 reseñas) Beginner , Specialization , 1-3 Months,,
31,"DevOps, Cloud, and Agile Foundations",IBM Skills Network,4.7,"(5,2k reseñas) Beginner · Specialization · 3-6 Months","(5,2k reseñas) Beginner ", Specialization , 3-6 Months,,
32,"Foundations: Data, Data, Everywhere",Google,4.8,"(76,1k reseñas) Beginner · Course · 1-3 Months","(76,1k reseñas) Beginner ", Course , 1-3 Months,,
33,IBM IT Support,IBM Skills Network,4.7,"(4,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(4,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
34,Cloud Application Development Foundations,IBM Skills Network,4.6,"(4,2k reseñas) Beginner · Specialization · 3-6 Months","(4,2k reseñas) Beginner ", Specialization , 3-6 Months,,
35,Python for Everybody,University of Michigan,4.8,"(261,5k reseñas) Beginner · Specialization · 3-6 Months","(261,5k reseñas) Beginner ", Specialization , 3-6 Months,,
36,Supervised Machine Learning: Regression and Classification,DeepLearning.AI,4.9,"(7,7k reseñas) Beginner · Course · 1-4 Weeks","(7,7k reseñas) Beginner ", Course , 1-4 Weeks,,
37,Information Technology (IT) and Cloud Fundamentals,IBM Skills Network,4.7,"(4,1k reseñas) Beginner · Specialization · 3-6 Months","(4,1k reseñas) Beginner ", Specialization , 3-6 Months,,
38,Technical Support Fundamentals,Google,4.8,(134k reseñas) Beginner · Course · 1-3 Months,(134k reseñas) Beginner , Course , 1-3 Months,,
39,"BI Foundations with SQL, ETL and Data Warehousing",IBM Skills Network,4.6,"(17,8k reseñas) Beginner · Specialization · 3-6 Months","(17,8k reseñas) Beginner ", Specialization , 3-6 Months,,
40,Meta React Native,Meta,4.7,"(3,1k reseñas) Beginner · Specialization · 3-6 Months","(3,1k reseñas) Beginner ", Specialization , 3-6 Months,,
41,Meta Social Media Marketing,Meta,4.8,"(14,7k reseñas) Beginner · Professional Certificate · 3-6 Months","(14,7k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
42,Business Foundations,University of Pennsylvania,4.7,"(23,2k reseñas) Beginner · Specialization · 3-6 Months","(23,2k reseñas) Beginner ", Specialization , 3-6 Months,,
43,Foundations of User Experience (UX) Design,Google,4.8,"(49,7k reseñas) Beginner · Course · 1-4 Weeks","(49,7k reseñas) Beginner ", Course , 1-4 Weeks,,
44,IBM Applied DevOps Engineering,IBM Skills Network,4.7,"(2,5k reseñas) Intermediate · Professional Certificate · 3-6 Months","(2,5k reseñas) Intermediate ", Professional Certificate , 3-6 Months,,
45,Intuit Academy Bookkeeping,Intuit,4.5,"(3,6k reseñas) Beginner · Professional Certificate · 3-6 Months","(3,6k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
46,Meta Back-End Developer,Meta,4.7,"(3,2k reseñas) Beginner · Professional Certificate · 3-6 Months","(3,2k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
47,Natural Language Processing,DeepLearning.AI,4.6,(5k reseñas) Intermediate · Specialization · 3-6 Months,(5k reseñas) Intermediate , Specialization , 3-6 Months,,
48,Meta Android Developer,Meta,4.7,"(2,3k reseñas) Beginner · Professional Certificate · 3-6 Months","(2,3k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
49,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,4.5,"(15,1k reseñas) Beginner · Specialization · 3-6 Months","(15,1k reseñas) Beginner ", Specialization , 3-6 Months,,
50,Meta iOS Developer,Meta,4.7,"(2,2k reseñas) Beginner · Professional Certificate · 3-6 Months","(2,2k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
51,Machine Learning Engineering for Production (MLOps),DeepLearning.AI,4.7,"(2,8k reseñas) Advanced · Specialization · 3-6 Months","(2,8k reseñas) Advanced ", Specialization , 3-6 Months,,
52,Introduction to Finance and Accounting,University of Pennsylvania,4.6,"(12,4k reseñas) Beginner · Specialization · 3-6 Months","(12,4k reseñas) Beginner ", Specialization , 3-6 Months,,
53,DeepLearning.AI TensorFlow Developer,DeepLearning.AI,4.7,"(23,2k reseñas) Intermediate · Professional Certificate · 3-6 Months","(23,2k reseñas) Intermediate ", Professional Certificate , 3-6 Months,,
54,Foundations of Digital Marketing and E-commerce,Google,4.8,"(8,8k reseñas) Beginner · Course · 1-4 Weeks","(8,8k reseñas) Beginner ", Course , 1-4 Weeks,,
55,IBM AI Engineering,IBM Skills Network,4.6,"(15,9k reseñas) Intermediate · Professional Certificate · 3-6 Months","(15,9k reseñas) Intermediate ", Professional Certificate , 3-6 Months,,
56,The Science of Well-Being,Yale University,4.9,"(35,5k reseñas) Mixed · Course · 1-3 Months","(35,5k reseñas) Mixed ", Course , 1-3 Months,,
57,AI For Everyone,DeepLearning.AI,4.8,"(37,8k reseñas) Beginner · Course · 1-4 Weeks","(37,8k reseñas) Beginner ", Course , 1-4 Weeks,,
58,Ask Questions to Make Data-Driven Decisions,Google,4.7,"(22,9k reseñas) Beginner · Course · 1-4 Weeks","(22,9k reseñas) Beginner ", Course , 1-4 Weeks,,
59,Business and Financial Modeling,University of Pennsylvania,4.5,"(10,2k reseñas) Beginner · Specialization · 3-6 Months","(10,2k reseñas) Beginner ", Specialization , 3-6 Months,,
60,Meta Database Engineer,Meta,4.7,"(2,2k reseñas) Beginner · Professional Certificate · 3-6 Months","(2,2k reseñas) Beginner ", Professional Certificate , 3-6 Months,,
61,Project Initiation: Starting a Successful Project,Google,4.8,"(13,7k reseñas) Beginner · Course · 1-4 Weeks","(13,7k reseñas) Beginner ", Course , 1-4 Weeks,,
62,Learn SQL Basics for Data Science,"University of California, Davis",4.6,"(15,3k reseñas) Beginner · Specialization · 3-6 Months","(15,3k reseñas) Beginner ", Specialization , 3-6 Months,,
63,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,4.6,(171 reseñas) Mixed · Course · 1-3 Months,(171 reseñas) Mixed , Course , 1-3 Months,,
64,Excel Skills for Business,Macquarie University,4.9,"(56,4k reseñas) Beginner · Specialization · 3-6 Months","(56,4k reseñas) Beginner ", Specialization , 3-6 Months,,
65,Indigenous Canada,University of Alberta,4.8,"(20,9k reseñas) Mixed · Course · 1-3 Months","(20,9k reseñas) Mixed ", Course , 1-3 Months,,
