Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Revit Arquitectura / Curso Avanzado / 2023
De la metodología CAD a la metodología BIM.",Lou Pedraza,11 horas en total,59 ,Experto,"14,99 €","84,99 €"
"Curso de Autodesk Inventor 2021
¿Te gustaría ser más productivo y desarrollar proyectos de la industria Mecánica, Industrial y de Manufactura?",Juan Jose Ramos,"6,5 horas en total",48 ,Todos los niveles,"14,99 €","19,99 €"
"Principios de diseño para láminas de presentación
Da tus primeros pasos y aprende a cómo diagramar láminas para tu presentación",Daniel Sánchez,5 horas en total,58 ,Principiante,"14,99 €","19,99 €"
"Curso HTML5 principiante desde cero (0)
De la tierra a la Luna! Hacemos nuestro primer viaje en el mundo de HTML!",Arcux Educacion,1 hora en total,10 ,Todos los niveles,"14,99 €","19,99 €"
"Fundamentos de UX/ UI para Principiantes
Maneja desde conocimientos básicos hasta el desarrollo y aplicación de diseño Interfaces de Usuario UX/UI",Luis David Garcia Luis,"3,5 horas en total",18 ,Todos los niveles,"14,99 €","89,99 €"
"Curso de creación de imágenes con IA
Descubre el poder de la IA para diseñar imágenes sorprendentes y realistas",Shodyamsu Gisah,1 hora en total,16 ,Todos los niveles,"14,99 €","69,99 €"
"FreeCAD en un día
Aprende diseño 3D profesional con FreeCAD, software libre y gratuito.",Alexis Ariel Puljiz,3 horas en total,15 ,Intermedio,"14,99 €","49,99 €"
"Diseño de láminas de presentación arquitectónica
prende a presentar tus proyectos arquitectónicos de forma didáctica y atractiva",Jose David Contreras Bueno,"4,5 horas en total",62 ,Intermedio,"14,99 €","19,99 €"
"Aprende a ser Designer con la inteligencia artificial
Únete a nosotros y descubre cómo puedes llevar tus habilidades al siguiente nivel.",Lenin Carrillo,1 hora en total,5 ,Todos los niveles,"14,99 €","49,99 €"
"El viaje del diseñador: Curso teórico de videojuegos
Aprende sobre el noble arte de diseñar videojuegos",Andreas Lang,"25,5 horas en total",171 ,Todos los niveles,"14,99 €","94,99 €"
"Cinema 4D Se un Padawan en ESPAÑOL
Cinema 4D para todos los Niveles y especializaciones en Animación, Riggin, Textura, y MÁS",Libel Academy,25 horas en total,219 ,Todos los niveles,"14,99 €","84,99 €"
"Escenas exteriores con Sketchup y V-Ray
Aprende a crear impresionantes escenas exteriores como un profesional",Monica Torrero,6 horas en total,31 ,Principiante,"14,99 €","19,99 €"
"Modelado de Edificaciones con Archicad
Modela, diseña, construye, publica y presenta todo tipo de edificación en un entorno BIM",Ruth Cepero,16 horas en total,74 ,Principiante,"14,99 €","59,99 €"
"Aprender mandala de puntos: Clase magistral de pintura de pu
Desglose de todas las herramientas y técnicas con algunos hermosos proyectos de patrones artísticos",Marlon Ceballos,"4,5 horas en total",29 ,Principiante,"14,99 €","94,99 €"
"Martillo Pirata en Blender 2.83 y ZBrush 2020
Complementado con Marmoset 2019","Miguel Angel Soto, SDQ Training Center",15 horas en total,14 ,Principiante,"14,99 €","19,99 €"
"Arco Orgánico de Globos - Nivel Principiante
Aprende desde el inicio como realizar un arco orgánico con globos rápido y fácil!","Joel Combes, SDQ Training Center",30 minutos en total,8 ,Principiante,"14,99 €","39,99 €"
